stdSymbol
USDCHF
GBPUSD
EURUSD
USDJPY
USDCAD
EURGBP
EURAUD
EURCHF
EURJPY
GBPCHF
CADJPY
GBPJPY
AUDNZD
AUDCAD
AUDCHF
AUDJPY
CHFJPY
EURNZD
EURCAD
CADCHF
NZDJPY
NZDUSD
AUDUSD
GBPAUD
GBPCAD
GBPNZD
NZDCAD
NZDCHF
USDSGD
AUDSGD
CHFSGD
EURDKK
EURNOK
EURPLN
EURSEK
EURSGD
EURTRY
EURZAR
GBPDKK
GBPNOK
GBPSEK
GBPSGD
GBPTRY
NOKJPY
NOKSEK
SEKJPY
SGDJPY
USDCNH
USDCZK
USDDKK
USDHKD
USDHUF
USDMXN
USDNOK
USDPLN
USDRUB
USDSEK
USDTHB
USDTRY
USDZAR
XAGEUR
XAGUSD
XAUEUR
XAUUSD
XPDUSD
XPTUSD
XBRUSD
XNGUSD
XTIUSD
XAUAUD
XAUGBP
XAUJPY
XAUCHF
XAGAUD
EURHKD
